Date : 2021-11-09 09:28:30
Directory : c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart
Total : 376 files,  67226 codes, 4398 comments, 2443 blanks, all 74067 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Persisted\Stored Procedures\Persisted.ObtainReportingOrganisation.sql                | SQL        |         94 |         18 |         13 |        125 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Persisted\Stored Procedures\Persisted.ObtainSanitation.sql                           | SQL        |        162 |         18 |         14 |        194 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Persisted\Stored Procedures\Persisted.ObtainSector.sql                               | SQL        |         94 |         18 |         14 |        126 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Persisted\Stored Procedures\Persisted.ObtainTitle.sql                                | SQL        |         76 |         18 |         14 |        108 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Persisted\Stored Procedures\Persisted.ObtainTransaction.sql                          | SQL        |        211 |         18 |         15 |        244 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Persisted\Tables\Persisted.ActivityDate.sql                                          | SQL        |         15 |          2 |          1 |         18 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Persisted\Tables\Persisted.ActivityStatus.sql                                        | SQL        |         13 |          2 |          1 |         16 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Persisted\Tables\Persisted.Budget.sql                                                | SQL        |         17 |          2 |          1 |         20 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Persisted\Tables\Persisted.ContactInformation.sql                                    | SQL        |         25 |          2 |          1 |         28 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Persisted\Tables\Persisted.Description.sql                                           | SQL        |         12 |          2 |          1 |         15 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Persisted\Tables\Persisted.ParticipatingOrganisation.sql                             | SQL        |         15 |          2 |          2 |         19 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Persisted\Tables\Persisted.RecipientCountry.sql                                      | SQL        |         14 |          2 |          1 |         17 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Persisted\Tables\Persisted.RecipientRegion.sql                                       | SQL        |         15 |          2 |          1 |         18 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Persisted\Tables\Persisted.ReportingOrganisation.sql                                 | SQL        |         15 |          2 |          1 |         18 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Persisted\Tables\Persisted.Sanitation.sql                                            | SQL        |         25 |          2 |          1 |         28 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Persisted\Tables\Persisted.Sector.sql                                                | SQL        |         15 |          2 |          1 |         18 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Persisted\Tables\Persisted.Title.sql                                                 | SQL        |         12 |          2 |          1 |         15 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Persisted\Tables\Persisted.Transaction.sql                                           | SQL        |         34 |          2 |          1 |         37 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Presentation\View\ActivityDate.sql                                                   | SQL        |         11 |          2 |          2 |         15 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Presentation\View\ActivityStatus.sql                                                 | SQL        |          9 |          2 |          2 |         13 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Presentation\View\Budget.sql                                                         | SQL        |         13 |          2 |          2 |         17 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Presentation\View\ContactInformation.sql                                             | SQL        |         21 |          2 |          2 |         25 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Presentation\View\Description.sql                                                    | SQL        |          8 |          2 |          2 |         12 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Presentation\View\ParticipatingOrganisation.sql                                      | SQL        |         11 |          2 |          2 |         15 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Presentation\View\RecipientCountry.sql                                               | SQL        |         10 |          2 |          2 |         14 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Presentation\View\RecipientRegion.sql                                                | SQL        |         11 |          2 |          2 |         15 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Presentation\View\ReportingOrganisation.sql                                          | SQL        |         11 |          2 |          2 |         15 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Presentation\View\Sanitation.sql                                                     | SQL        |         22 |          2 |          2 |         26 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Presentation\View\Sector.sql                                                         | SQL        |         11 |          2 |          2 |         15 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Presentation\View\Title.sql                                                          | SQL        |          8 |          2 |          2 |         12 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Presentation\View\Transaction.sql                                                    | SQL        |         30 |          2 |          2 |         34 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Project\Scripts\PostDeployment\Control.CurationStage.Populate.sql                    | SQL        |          7 |          2 |          5 |         14 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Project\Scripts\PostDeployment\Control.Entity.Populate.sql                           | SQL        |         55 |          4 |         29 |         88 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Project\Scripts\PostDeployment\Control.PipelineStatusType.Populate.sql               | SQL        |          9 |          2 |          6 |         17 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Project\Scripts\PostDeployment\Control.SourceSystem.Populate.sql                     | SQL        |          7 |          2 |          5 |         14 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Project\Scripts\PostDeployment\Security.DeployAADSecurity.sql                        | SQL        |         10 |         24 |         19 |         53 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Project\Scripts\PostDeployment\Security.DeploySqlSecurity.sql                        | SQL        |          3 |         14 |          4 |         21 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Project\Scripts\PreDeployment\RemoveExistingSqlObjects.sql                           | SQL        |         99 |         11 |          9 |        119 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Project\Scripts\Script.PostDeployment.sql                                            | SQL        |          4 |         14 |          2 |         20 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Security\Database Scoped Credential\DatabaseScopedCredentialADLS.sql                 | SQL        |          3 |          3 |          2 |          8 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Security\Master Key\MasterKey.sql                                                    | SQL        |          1 |         10 |          2 |         13 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Security\Schema\Audit.Schema.sql                                                     | SQL        |          2 |          2 |          1 |          5 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Security\Schema\Control.Schema.sql                                                   | SQL        |          2 |          2 |          1 |          5 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Security\Schema\External.Schema.sql                                                  | SQL        |          2 |          2 |          1 |          5 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Security\Schema\Persisted.sql                                                        | SQL        |          2 |          2 |          1 |          5 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Security\Schema\Presentation.Schema.sql                                              | SQL        |          2 |          2 |          1 |          5 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Security\Schema\Scratch.Schema.sql                                                   | SQL        |          2 |          2 |          1 |          5 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\DataFactory\README.md                                                                      | Markdown   |          0 |          0 |          1 |          1 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\DataFactory\dataset\DS_AdlsCsv.json                                                        | JSON       |         44 |          0 |          0 |         44 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\DataFactory\dataset\DS_AdlsParquet.json                                                    | JSON       |         41 |          0 |          0 |         41 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\DataFactory\dataset\DS_BlobCsv.json                                                        | JSON       |         62 |          0 |          0 |         62 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\DataFactory\dataset\DS_SynapseAnalytics.json                                               | JSON       |         16 |          0 |          0 |         16 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\DataFactory\linkedService\LS_ADLS.json                                                     | JSON       |         10 |          0 |          0 |         10 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\DataFactory\linkedService\LS_BLOB.json                                                     | JSON       |         10 |          0 |          0 |         10 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\DataFactory\linkedService\LS_KeyVault.json                                                 | JSON       |         10 |          0 |          0 |         10 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\DataFactory\linkedService\LS_SynapseAnalytics.json                                         | JSON       |         17 |          0 |          0 |         17 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\DataFactory\pipeline\PL_ChangeSynapseAnalyticsState.json                                   | JSON       |        376 |          0 |          0 |        376 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\DataFactory\pipeline\PL_CopyFromAdlsToPersisted.json                                       | JSON       |        226 |          0 |          0 |        226 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\DataFactory\pipeline\PL_CopyFromBlobToAdls.json                                            | JSON       |        319 |          0 |          0 |        319 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\DataFactory\pipeline\PL_MasterOrchestrate.json                                             | JSON       |        240 |          0 |          0 |        240 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\DataFactory\pipeline\PL_OrchestrateIngest.json                                             | JSON       |        300 |          0 |          0 |        300 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\DataFactory\pipeline\PL_OrchestrateTransformation.json                                     | JSON       |        284 |          0 |          0 |        284 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\DataFactory\trigger\Disable Synapse Analytics.json                                         | JSON       |         42 |          0 |          0 |         42 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Deployment\DataFactoryCode\Deploy-AzureDataFactoryCode.ps1                                 | PowerShell |        105 |         53 |         33 |        191 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Deployment\DataFactoryCode\azuredeploy.json                                                | JSON       |      2,102 |          0 |          0 |      2,102 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Deployment\DeployOrchestrator.ps1                                                          | PowerShell |        474 |        138 |         79 |        691 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Deployment\Scripts\Add-KeyVaultPolicy.ps1                                                  | PowerShell |        111 |         59 |         26 |        196 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Deployment\Scripts\Create-SqlServerMsi.ps1                                                 | PowerShell |         28 |         43 |          7 |         78 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Deployment\Scripts\Install-PowerShellModules.ps1                                           | PowerShell |          2 |          4 |          3 |          9 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Deployment\Scripts\Set-AzureDataLakeStorePermissions.ps1                                   | PowerShell |        275 |         75 |         40 |        390 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Deployment\Scripts\Set-IamPermissions.ps1                                                  | PowerShell |         69 |         49 |         17 |        135 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Deployment\Scripts\Set-KeyVaultSecret.ps1                                                  | PowerShell |         46 |         43 |         15 |        104 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Deployment\Scripts\Set-ResourceGroupIamPermissions.ps1                                     | PowerShell |         66 |         48 |         19 |        133 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Deployment\Scripts\Set-SqlServerAADAdministrator.ps1                                       | PowerShell |         27 |         41 |          8 |         76 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Deployment\Scripts\Upload-StorageAccountBlobFiles.ps1                                      | PowerShell |         50 |         61 |         14 |        125 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Deployment\SqlServerCode\Execute-DeploySqlServerCode.ps1                                   | PowerShell |         95 |        117 |         27 |        239 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\SampleSourceFiles\NonprofitAccelerator\model.json                                          | JSON       |     15,812 |          0 |          5 |     15,817 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Audit\Tables\Audit.PipelineLoad.sql                                    | SQL        |         13 |          2 |          5 |         20 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Audit\Views\Audit.ExecutionLog.sql                                     | SQL        |         16 |          2 |          1 |         19 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Control\Stored Procedures\Control.ActivateNewPipeline.sql              | SQL        |         19 |          5 |          8 |         32 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Control\Stored Procedures\Control.FinalisePipeline.sql                 | SQL        |         21 |          4 |          6 |         31 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Control\Stored Procedures\Control.ObtainEntity.sql                     | SQL        |         30 |          2 |          4 |         36 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Control\Tables\Control.CurationStage.sql                               | SQL        |          6 |          2 |          4 |         12 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Control\Tables\Control.Entity.sql                                      | SQL        |         19 |          2 |          5 |         26 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Control\Tables\Control.PipelineStatusType.sql                          | SQL        |          7 |          2 |          4 |         13 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Control\Tables\Control.SourceSystem.sql                                | SQL        |         10 |          2 |          3 |         15 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\External Resources\External Data Sources\ExternalDataSourceADLS.sql    | SQL        |          6 |         11 |          3 |         20 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\External Resources\External File Formats\ExternalFileFormatCSV.sql     | SQL        |         13 |          7 |          1 |         21 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\External Resources\External File Formats\ExternalFileFormatParquet.sql | SQL        |          5 |          3 |          1 |          9 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\External\Tables\External Tables\External.IATIAccount.sql               | SQL        |        203 |          2 |          2 |        207 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\External\Tables\External Tables\External.IATICampaign.sql              | SQL        |         84 |          2 |          2 |         88 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\External\Tables\External Tables\External.IATIPaymentMethod.sql         | SQL        |         45 |          2 |          2 |         49 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\External\Tables\External Tables\External.IATIPaymentSchedule.sql       | SQL        |         50 |          2 |          2 |         54 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\External\Tables\External Tables\External.IATITransaction.sql           | SQL        |         75 |          2 |          4 |         81 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Persisted\Stored Procedures\Persisted.ObtainAccount.sql                | SQL        |      1,217 |         17 |         16 |      1,250 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Persisted\Stored Procedures\Persisted.ObtainCampaign.sql               | SQL        |        509 |         17 |         14 |        540 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Persisted\Stored Procedures\Persisted.ObtainPaymentMethod.sql          | SQL        |        269 |         17 |         14 |        300 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Persisted\Stored Procedures\Persisted.ObtainPaymentSchedule.sql        | SQL        |        299 |         17 |         14 |        330 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Persisted\Stored Procedures\Persisted.ObtainTransaction.sql            | SQL        |        449 |         17 |         15 |        481 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Persisted\Tables\Persisted.Account.sql                                 | SQL        |        203 |          2 |          2 |        207 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Persisted\Tables\Persisted.Campaign.sql                                | SQL        |         84 |          2 |          1 |         87 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Persisted\Tables\Persisted.PaymentMethod.sql                           | SQL        |         45 |          2 |          1 |         48 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Persisted\Tables\Persisted.PaymentSchedule.sql                         | SQL        |         50 |          2 |          1 |         53 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Persisted\Tables\Persisted.Transaction.sql                             | SQL        |         75 |          2 |          2 |         79 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Presentation\View\Presentation.Account.sql                             | SQL        |        199 |          2 |          3 |        204 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Presentation\View\Presentation.Campaign.sql                            | SQL        |         81 |          2 |          2 |         85 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Presentation\View\Presentation.PaymentMethod.sql                       | SQL        |         41 |          2 |          3 |         46 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Presentation\View\Presentation.PaymentSchedule.sql                     | SQL        |         46 |          2 |          3 |         51 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Presentation\View\Presentation.Transaction.sql                         | SQL        |         71 |          2 |          2 |         75 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Project\Scripts\PostDeployment\Control.CurationStage.Populate.sql      | SQL        |          7 |          2 |          6 |         15 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Project\Scripts\PostDeployment\Control.Entity.Populate.sql             | SQL        |         23 |          4 |         16 |         43 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Project\Scripts\PostDeployment\Control.PipelineStatusType.Populate.sql | SQL        |          9 |          2 |          7 |         18 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Project\Scripts\PostDeployment\Control.SourceSystem.Populate.sql       | SQL        |          5 |          2 |          5 |         12 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Project\Scripts\PostDeployment\Security.DeployAADSecurity.sql          | SQL        |         10 |         25 |         19 |         54 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Project\Scripts\PostDeployment\Security.DeploySqlSecurity.sql          | SQL        |          3 |         15 |          4 |         22 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Project\Scripts\PreDeployment\RemoveExistingSqlObjects.sql             | SQL        |         51 |         11 |         12 |         74 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Project\Scripts\Script.PostDeployment.sql                              | SQL        |          4 |         14 |          2 |         20 |
