Date : 2021-11-09 09:28:30
Directory : c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart
Total : 376 files,  67226 codes, 4398 comments, 2443 blanks, all 74067 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |         66 |     48,028 |          0 |         10 |     48,038 |
| SQL        |        256 |     13,686 |      1,426 |      1,220 |     16,332 |
| PowerShell |         49 |      5,503 |      2,972 |      1,196 |      9,671 |
| Markdown   |          5 |          9 |          0 |         17 |         26 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                          |        376 |     67,226 |      4,398 |      2,443 |     74,067 |
| NonprofitDataWarehouseQuickstart                                                                                                                                                                           |        110 |      8,014 |      1,236 |        703 |      9,953 |
| NonprofitDataWarehouseQuickstartWithCDM                                                                                                                                                                    |         78 |     25,647 |        990 |        539 |     27,176 |
| NonprofitDataWarehouseQuickstartWithCDM\DataFactory                                                                                                                                                        |         16 |      1,997 |          0 |          1 |      1,998 |
| NonprofitDataWarehouseQuickstartWithCDM\DataFactory\dataset                                                                                                                                                |          4 |        163 |          0 |          0 |        163 |
| NonprofitDataWarehouseQuickstartWithCDM\DataFactory\linkedService                                                                                                                                          |          4 |         47 |          0 |          0 |         47 |
| NonprofitDataWarehouseQuickstartWithCDM\DataFactory\pipeline                                                                                                                                               |          6 |      1,745 |          0 |          0 |      1,745 |
| NonprofitDataWarehouseQuickstartWithCDM\DataFactory\trigger                                                                                                                                                |          1 |         42 |          0 |          0 |         42 |
| NonprofitDataWarehouseQuickstartWithCDM\Deployment                                                                                                                                                         |         13 |      3,450 |        731 |        298 |      4,479 |
| NonprofitDataWarehouseQuickstartWithCDM\Deployment\DataFactoryCode                                                                                                                                         |          2 |      2,207 |         53 |         34 |      2,294 |
| NonprofitDataWarehouseQuickstartWithCDM\Deployment\Scripts                                                                                                                                                 |          9 |        674 |        423 |        157 |      1,254 |
| NonprofitDataWarehouseQuickstartWithCDM\Deployment\SqlServerCode                                                                                                                                           |          1 |         95 |        117 |         27 |        239 |
| NonprofitDataWarehouseQuickstartWithCDM\SampleSourceFiles                                                                                                                                                  |          1 |     15,812 |          0 |          5 |     15,817 |
| NonprofitDataWarehouseQuickstartWithCDM\SampleSourceFiles\NonprofitAccelerator                                                                                                                             |          1 |     15,812 |          0 |          5 |     15,817 |
| NonprofitDataWarehouseQuickstartWithCDM\Warehouse                                                                                                                                                          |         48 |      4,388 |        259 |        235 |      4,882 |
| NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse                                                                                                                                                |         48 |      4,388 |        259 |        235 |      4,882 |
| NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Audit                                                                                                                                          |          2 |         29 |          4 |          6 |         39 |
| NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Audit\Tables                                                                                                                                   |          1 |         13 |          2 |          5 |         20 |
| NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Audit\Views                                                                                                                                    |          1 |         16 |          2 |          1 |         19 |
| NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Control                                                                                                                                        |          7 |        112 |         19 |         34 |        165 |
| NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Control\Stored Procedures                                                                                                                      |          3 |         70 |         11 |         18 |         99 |
| NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Control\Tables                                                                                                                                 |          4 |         42 |          8 |         16 |         66 |
| NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\External                                                                                                                                       |          5 |        457 |         10 |         12 |        479 |
| NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\External Resources                                                                                                                             |          3 |         24 |         21 |          5 |         50 |
| NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\External Resources\External Data Sources                                                                                                       |          1 |          6 |         11 |          3 |         20 |
| NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\External Resources\External File Formats                                                                                                       |          2 |         18 |         10 |          2 |         30 |
| NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\External\Tables                                                                                                                                |          5 |        457 |         10 |         12 |        479 |
| NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\External\Tables\External Tables                                                                                                                |          5 |        457 |         10 |         12 |        479 |
| NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Persisted                                                                                                                                      |         10 |      3,200 |         95 |         80 |      3,375 |
| NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Persisted\Stored Procedures                                                                                                                    |          5 |      2,743 |         85 |         73 |      2,901 |
| NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Persisted\Tables                                                                                                                               |          5 |        457 |         10 |          7 |        474 |
| NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Presentation                                                                                                                                   |          5 |        438 |         10 |         13 |        461 |
| NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Presentation\View                                                                                                                              |          5 |        438 |         10 |         13 |        461 |
| NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Project                                                                                                                                        |          8 |        112 |         75 |         71 |        258 |
| NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Project\Scripts                                                                                                                                |          8 |        112 |         75 |         71 |        258 |
| NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Project\Scripts\PostDeployment                                                                                                                 |          6 |         57 |         50 |         57 |        164 |
| NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Project\Scripts\PreDeployment                                                                                                                  |          1 |         51 |         11 |         12 |         74 |
| NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Security                                                                                                                                       |          8 |         16 |         25 |         14 |         55 |
| NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Security\Database Scoped Credential                                                                                                            |          1 |          3 |          3 |          2 |          8 |
| NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Security\Master Key                                                                                                                            |          1 |          1 |         10 |          2 |         13 |
| NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Security\Schema                                                                                                                                |          6 |         12 |         12 |         10 |         34 |
| NonprofitDataWarehouseQuickstart\DataFactory                                                                                                                                                               |         16 |      1,990 |          0 |          1 |      1,991 |
| NonprofitDataWarehouseQuickstart\DataFactory\dataset                                                                                                                                                       |          4 |        163 |          0 |          0 |        163 |
| NonprofitDataWarehouseQuickstart\DataFactory\linkedService                                                                                                                                                 |          4 |         47 |          0 |          0 |         47 |
| NonprofitDataWarehouseQuickstart\DataFactory\pipeline                                                                                                                                                      |          6 |      1,738 |          0 |          0 |      1,738 |
| NonprofitDataWarehouseQuickstart\DataFactory\trigger                                                                                                                                                       |          1 |         42 |          0 |          0 |         42 |
| NonprofitDataWarehouseQuickstart\Deployment                                                                                                                                                                |         14 |      3,569 |        782 |        327 |      4,678 |
| NonprofitDataWarehouseQuickstart\Deployment\DataFactoryCode                                                                                                                                                |          3 |      2,323 |        108 |         68 |      2,499 |
| NonprofitDataWarehouseQuickstart\Deployment\Scripts                                                                                                                                                        |          9 |        647 |        421 |        155 |      1,223 |
| NonprofitDataWarehouseQuickstart\Deployment\SqlServerCode                                                                                                                                                  |          1 |         95 |        117 |         27 |        239 |
| NonprofitDataWarehouseQuickstart\Warehouse                                                                                                                                                                 |         80 |      2,455 |        454 |        375 |      3,284 |
| NonprofitDataWarehouseQuickstart\Warehouse\Warehouse                                                                                                                                                       |         80 |      2,455 |        454 |        375 |      3,284 |
| NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Audit                                                                                                                                                 |          2 |         29 |          4 |          6 |         39 |
| NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Audit\Tables                                                                                                                                          |          1 |         13 |          2 |          5 |         20 |
| NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Audit\Views                                                                                                                                           |          1 |         16 |          2 |          1 |         19 |
| NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Control                                                                                                                                               |          7 |        112 |         19 |         29 |        160 |
| NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Control\Stored Procedures                                                                                                                             |          3 |         70 |         11 |         17 |         98 |
| NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Control\Tables                                                                                                                                        |          4 |         42 |          8 |         12 |         62 |
| NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\External                                                                                                                                              |         13 |        250 |         26 |         23 |        299 |
| NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\External Resources                                                                                                                                    |          3 |         24 |         21 |          5 |         50 |
| NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\External Resources\External Data Sources                                                                                                              |          1 |          6 |         11 |          2 |         19 |
| NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\External Resources\External File Formats                                                                                                              |          2 |         18 |         10 |          3 |         31 |
| NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\External\Tables                                                                                                                                       |         13 |        250 |         26 |         23 |        299 |
| NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\External\Tables\External Tables                                                                                                                       |         13 |        250 |         26 |         23 |        299 |
| NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Persisted                                                                                                                                             |         26 |      1,654 |        260 |        197 |      2,111 |
| NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Persisted\Stored Procedures                                                                                                                           |         13 |      1,427 |        234 |        183 |      1,844 |
| NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Persisted\Tables                                                                                                                                      |         13 |        227 |         26 |         14 |        267 |
| NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Presentation                                                                                                                                          |         13 |        176 |         26 |         26 |        228 |
| NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Presentation\View                                                                                                                                     |         13 |        176 |         26 |         26 |        228 |
| NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Project                                                                                                                                               |          8 |        194 |         73 |         79 |        346 |
| NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Project\Scripts                                                                                                                                       |          8 |        194 |         73 |         79 |        346 |
| NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Project\Scripts\PostDeployment                                                                                                                        |          6 |         91 |         48 |         68 |        207 |
| NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Project\Scripts\PreDeployment                                                                                                                         |          1 |         99 |         11 |          9 |        119 |
| NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Security                                                                                                                                              |          8 |         16 |         25 |         10 |         51 |
| NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Security\Database Scoped Credential                                                                                                                   |          1 |          3 |          3 |          2 |          8 |
| NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Security\Master Key                                                                                                                                   |          1 |          1 |         10 |          2 |         13 |
| NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Security\Schema                                                                                                                                       |          6 |         12 |         12 |          6 |         30 |
| legacy                                                                                                                                                                                                     |        187 |     33,556 |      2,172 |      1,188 |     36,916 |
| legacy\NonprofitDataWarehouseQuickstart                                                                                                                                                                    |        109 |      7,909 |      1,182 |        659 |      9,750 |
| legacy\NonprofitDataWarehouseQuickstartWithCDM                                                                                                                                                             |         78 |     25,647 |        990 |        529 |     27,166 |
| legacy\NonprofitDataWarehouseQuickstartWithCDM\DataFactory                                                                                                                                                 |         16 |      1,997 |          0 |          1 |      1,998 |
| legacy\NonprofitDataWarehouseQuickstartWithCDM\DataFactory\dataset                                                                                                                                         |          4 |        163 |          0 |          0 |        163 |
| legacy\NonprofitDataWarehouseQuickstartWithCDM\DataFactory\linkedService                                                                                                                                   |          4 |         47 |          0 |          0 |         47 |
| legacy\NonprofitDataWarehouseQuickstartWithCDM\DataFactory\pipeline                                                                                                                                        |          6 |      1,745 |          0 |          0 |      1,745 |
| legacy\NonprofitDataWarehouseQuickstartWithCDM\DataFactory\trigger                                                                                                                                         |          1 |         42 |          0 |          0 |         42 |
