EmailEngagementId,EmailId,Subject,VariantType,SendDate,CampaignId,Timezone,CreatedDate,ModifiedDate,SourceSystemId,SourceId,ChannelId
67346fcd-3014-4a7f-8ead-585d3a475438,9151e105-403c-4b1c-8997-760e25d2e8db,Your impact this month,Control,2006-09-25 15:08:52.128677,704321bf-f12d-40b4-a043-90504a5bb907,UTC,2025-07-30 16:33:05.306764,2025-07-30 16:33:05.306764,8b97b97c-72ce-425a-851d-0f4b1391fb83,bb05204b-9818-4e53-9036-6b29b936b0fb,4ba4a473-aeb9-4743-b4b5-1a2ec92f2323
55c1fddb-c942-4518-b299-287d0f8a4cfe,3e9da6e0-2936-4bb3-9026-e027a93e7afa,Exciting news from our team,C,2013-05-24 13:44:20.128850,d0326120-15bf-4c44-92f6-03c8110e91d8,Asia/Tokyo,2025-07-30 16:33:05.306764,2025-07-30 16:33:05.306764,1d607d92-bd39-4839-aee6-c90dd6bb52ee,bb05204b-9818-4e53-9036-6b29b936b0fb,4ba4a473-aeb9-4743-b4b5-1a2ec92f2323
d333e902-f255-48b0-a621-76dcf8d1b036,e07a2513-f434-4926-bf77-bc59bf5e66b0,Exciting news from our team,A,2023-05-09 23:58:38.129056,df4afe5c-7ce1-4eed-9398-74f0b75272d8,America/Los_Angeles,2025-07-30 16:33:05.306764,2025-07-30 16:33:05.306764,9df7e448-65f5-480a-9991-37a8d3feccff,bb05204b-9818-4e53-9036-6b29b936b0fb,4ba4a473-aeb9-4743-b4b5-1a2ec92f2323
1a8ce807-121a-40c8-ac43-53393284d79f,7b539672-8a01-4d32-87f4-8d917dd17af0,Exciting news from our team,C,2022-07-03 00:38:21.129304,ba212dac-083d-4d67-a9b2-29858a57675e,Australia/Sydney,2025-07-30 16:33:05.306764,2025-07-30 16:33:05.306764,16299fa9-9992-45ec-9484-fcc3171e6e36,bb05204b-9818-4e53-9036-6b29b936b0fb,4ba4a473-aeb9-4743-b4b5-1a2ec92f2323
5e6e3793-8658-4a3a-8060-0e4411aa6fd0,cb74adeb-dd5a-4370-ba43-041d10f6090b,Exciting news from our team,B,2016-11-16 13:24:39.129442,f2ba88b6-7dd3-4504-a511-129ffabe9318,Europe/London,2025-07-30 16:33:05.306764,2025-07-30 16:33:05.306764,184b9856-9821-4864-bb25-f0b8f4342075,bb05204b-9818-4e53-9036-6b29b936b0fb,4ba4a473-aeb9-4743-b4b5-1a2ec92f2323
4d40ad8a-13fd-4741-a08f-93db45eda9cf,5318e7df-9aff-4790-92fd-117d7f177f63,Last chance to register,A,2021-05-06 02:32:23.129827,d1c391c7-677a-40f1-8de1-bad2b8c90374,UTC,2025-07-30 16:33:05.306764,2025-07-30 16:33:05.306764,ddfbaf17-b6f2-4a0b-8501-c1b6b256a11a,bb05204b-9818-4e53-9036-6b29b936b0fb,4ba4a473-aeb9-4743-b4b5-1a2ec92f2323
8ecd4670-75dc-461b-beb1-e31496399133,0f3af455-a387-48aa-8748-fafcfcca08c7,Your impact this month,B,2010-05-19 19:38:15.130699,d1c391c7-677a-40f1-8de1-bad2b8c90374,UTC,2025-07-30 16:33:05.306764,2025-07-30 16:33:05.306764,ad4ece28-f967-4081-9600-a97c8f24bf2b,bb05204b-9818-4e53-9036-6b29b936b0fb,4ba4a473-aeb9-4743-b4b5-1a2ec92f2323
300f8e08-1e05-41f0-99e8-33035d69ecd5,08c2f153-fbe8-4227-a1a4-72d5338f547d,Last chance to register,A,2022-07-04 02:44:12.130794,9ed84ea3-6f54-40e5-880f-426fa7a8d668,America/New_York,2025-07-30 16:33:05.306764,2025-07-30 16:33:05.306764,5ca82c4f-1e2b-414a-bf97-6591d335d9dd,bb05204b-9818-4e53-9036-6b29b936b0fb,4ba4a473-aeb9-4743-b4b5-1a2ec92f2323
92e3dd84-9dfc-4366-a168-b7d965db6036,94ffaa8e-f241-4ac0-8d78-65aa3ff3e0fa,Thank you for your support!,Control,2013-06-10 13:45:33.130847,05033030-2c8d-48d8-92fe-d6db5114dbbc,America/New_York,2025-07-30 16:33:05.306764,2025-07-30 16:33:05.306764,aeac4a68-a56e-4148-87b1-61a04fabaaf5,bb05204b-9818-4e53-9036-6b29b936b0fb,4ba4a473-aeb9-4743-b4b5-1a2ec92f2323
c746c62a-1243-494d-8b77-ad25ad2517f6,3df072b2-4a5d-4c1f-9c60-e355631efd10,We need your feedback,B,2012-05-22 15:49:16.130942,9ed84ea3-6f54-40e5-880f-426fa7a8d668,Australia/Sydney,2025-07-30 16:33:05.306764,2025-07-30 16:33:05.306764,aa07bb04-e8e0-47b6-87cb-e4de71015267,bb05204b-9818-4e53-9036-6b29b936b0fb,4ba4a473-aeb9-4743-b4b5-1a2ec92f2323
