Table,Column,Data Type,Required,Description,Unique Identifier,Reference Field,References
Configuration,ConfigurationId,String,Yes,Unique identifier (GUID) for the configuration.,Yes,No,
Configuration,Name,String,No,Name of the configuration.,No,No,
Configuration,Value,String,No,Value of the configuration.,No,No,
DimAddress,AddressId,String,No,Unique identifier (GUID) for the address.,No,No,
DimAddress,AddressKey,Long,Yes,Gold surrogate key for the address.,Yes,No,
DimAddress,City,String,No,City of the address.,No,No,
DimAddress,CountryCode,String,Yes,ISO 3166-1 alpha-3 country code.,No,No,
DimAddress,CountryId,String,No,Reference to the country.,No,Yes,Country
DimAddress,CountryName,String,No,Name of the country.,No,No,
DimAddress,Latitude,Decimal (18/4),No,Latitude of the address location.,No,No,
DimAddress,Longitude,Decimal (18/4),No,Longitude of the address location.,No,No,
DimAddress,Region,String,No,Region or state of the address.,No,No,
DimAddress,SourceKey,Long,No,Reference to the source system.,No,Yes,DimSource
DimAddress,SourceSysAddressId,String,No,Source system address identifier.,No,No,
DimAddress,State,String,No,State of the address.,No,No,
DimAddress,StateCode,String,No,State code of the address.,No,No,
DimAddress,ZipCode,String,No,Postal code of the address.,No,No,
DimCampaign,CampaignId,String,No,Unique identifier (GUID) for the campaign.,No,No,
DimCampaign,CampaignKey,Long,Yes,Gold surrogate key for the campaign.,Yes,No,
DimCampaign,CampaignName,String,No,Name of the campaign.,No,No,
DimCampaign,CampaignTypeKey,Long,No,Reference to campaign type.,No,Yes,DimCampaignType
DimCampaign,Cost,Decimal (18/4),No,Total cost of the campaign.,No,No,
DimCampaign,CreatedDateKey,Long,No,Date when the campaign was created.,No,Yes,DimDate
DimCampaign,EndDateKey,Long,Yes,Date the campaign ends.,No,Yes,DimDate
DimCampaign,ModifiedDateKey,Long,No,Date when the campaign was last modified.,No,Yes,DimDate
DimCampaign,SourceSysCampaignId,String,No,Source system campaign identifier.,No,No,
DimCampaign,StartDateKey,Long,No,Date the campaign starts.,No,Yes,DimDate
DimCampaign,Timezone,String,No,Timezone associated with the campaign.,No,No,
DimCampaignChannelBridge,CampaignChannelBridgeKey,Long,Yes,Gold surrogate key for campaign channel bridge.,Yes,No,
DimCampaignChannelBridge,CampaignChannelId,String,No,Campaign channel identifier.,No,No,
DimCampaignChannelBridge,CampaignKey,Long,Yes,Reference to the campaign.,No,Yes,DimCampaign
DimCampaignChannelBridge,ChannelKey,Long,No,Reference to the channel.,No,Yes,DimChannel
DimCampaignType,CampaignType,String,Yes,Name of the campaign type.,No,No,
DimCampaignType,CampaignTypeKey,Long,Yes,Gold surrogate key for campaign type.,Yes,No,
DimCampaignType,CampaignTypeId,String,Yes,Campaign type identifier.,No,No,
DimChannel,ChannelId,String,No,Channel identifier.,No,No,
DimChannel,ChannelKey,Long,Yes,Gold surrogate key for the channel.,Yes,No,
DimChannel,ChannelName,String,No,"Name of the channel (e.g., email, social media).",No,No,
DimChannel,CreatedDateKey,Long,No,Date when the channel was created.,No,Yes,DimDate
DimChannel,ModifiedDateKey,Long,No,Date when the channel was last modified.,No,Yes,DimDate
DimChannel,Weight,Decimal (18/4),No,Weight or priority of the channel.,No,No,
DimConstituent,AddressKey,Long,No,Reference to the constituent's address.,No,Yes,DimAddress
DimConstituent,ConstituentId,String,No,Unique identifier (GUID) for the constituent.,No,No,
DimConstituent,ConstituentKey,Long,Yes,Gold surrogate key for the constituent.,Yes,No,
DimConstituent,ConstituentName,String,No,Name of the constituent.,No,No,
DimConstituent,ConstituentType,String,No,"Type of constituent (Individual, Organization, Household).",No,No,
DimConstituent,CreatedDateKey,Long,No,Date when the constituent was created.,No,Yes,DimDate
DimConstituent,Email,String,No,Email address of the constituent.,No,No,
DimConstituent,EngagementStage,String,No,Current engagement stage of the constituent.,No,No,
DimConstituent,Gender,String,Yes,Gender of the constituent.,No,No,
DimConstituent,ModifiedDateKey,Long,No,Date when the constituent was last modified.,No,Yes,DimDate
DimConstituent,RegistrationDateKey,Long,No,Date the constituent was registered.,No,Yes,DimDate
DimConstituent,SourceKey,Long,No,Reference to the source system.,No,Yes,DimSource
DimConstituent,SourceSysConstituentId,String,No,Source system constituent identifier.,No,No,
DimConstituentProgramBridge,ConstituentKey,Long,No,Reference to the constituent.,No,Yes,DimConstituent
DimConstituentProgramBridge,ConstituentProgramBridgeId,String,No,Constituent program bridge identifier.,No,No,
DimConstituentProgramBridge,ConstituentProgramBridgeKey,Long,Yes,Gold surrogate key for constituent program bridge.,Yes,No,
DimConstituentProgramBridge,ProgramKey,Long,No,Reference to the program.,No,Yes,DimProgram
DimConstituentSegment,ConstituentSegmentId,String,No,Constituent segment identifier.,No,No,
DimConstituentSegment,ConstituentSegmentKey,Long,Yes,Gold surrogate key for constituent segment.,Yes,No,
DimConstituentSegment,ConstituentSegmentName,String,No,Name of the constituent segment.,No,No,
DimConstituentSegment,Order,Integer,No,Order of the constituent segment.,No,No,
DimConstituentSegment,TypeKey,Long,No,Reference to constituent segment type.,No,Yes,DimConstituentSegmentType
DimConstituentSegmentBridge,ConstituentKey,Long,No,Reference to the constituent.,No,Yes,DimConstituent
DimConstituentSegmentBridge,ConstituentSegmentKey,Long,No,Reference to the constituent segment.,No,Yes,DimConstituentSegment
DimConstituentSegmentBridge,ConstituentSegmentMappingId,String,No,Constituent segment mapping identifier.,No,No,
DimConstituentSegmentBridge,ConstituentSegmentBridgeKey,Long,Yes,Gold surrogate key for constituent segment bridge.,Yes,No,
DimConstituentSegmentType,ConstituentSegmentType,String,Yes,Name of the constituent segment type.,No,No,
DimConstituentSegmentType,ConstituentSegmentTypeId,String,No,Constituent segment type identifier.,No,No,
DimConstituentSegmentType,ConstituentSegmentTypeKey,Long,Yes,Gold surrogate key for constituent segment type.,Yes,No,
DimDate,Date,Date,No,Full date (natural key).,No,No,
DimDate,DateKey,Long,Yes,Surrogate key in YYYYMMDD format.,Yes,No,
DimDate,Day,Integer,No,Day of month (1-31).,No,No,
DimDate,DayName,String,No,"Full day name (e.g., Monday).",No,No,
DimDate,DayOfWeek,Integer,No,"Day of week (1=Monday, 7=Sunday).",No,No,
DimDate,FiscalQuarter,Integer,No,Fiscal quarter (1-4).,No,No,
DimDate,FiscalYear,Integer,No,Fiscal year.,No,No,
DimDate,IsHoliday,Boolean,No,"True if holiday, else false.",No,No,
DimDate,IsWeekend,Boolean,No,"True if Saturday or Sunday, else false.",No,No,
DimDate,Month,Integer,No,Month number (1-12).,No,No,
DimDate,MonthName,String,No,"Full month name (e.g., January).",No,No,
DimDate,MonthNameShort,String,No,"Abbreviated month name (e.g., Jan).",No,No,
DimDate,Quarter,Integer,No,Calendar quarter (1-4).,No,No,
DimDate,WeekOfYear,Integer,No,ISO week number (1-53).,No,No,
DimDate,Year,Integer,No,Calendar year.,No,No,
DimDonationSource,CreatedDateKey,Long,No,Date when the donation source was created.,No,Yes,DimDate
DimDonationSource,DonationSourceId,String,No,Donation source identifier.,No,No,
DimDonationSource,DonationSourceKey,Long,Yes,Gold surrogate key for donation source.,Yes,No,
DimDonationSource,DonationSourceRecordKey,Long,No,Reference to the source record.,No,No,
DimDonationSource,DonationSourceTypeName,String,No,Type name of the donation source.,No,No,
DimDonationSource,ModifiedDateKey,Long,No,Date when the donation source was last modified.,No,Yes,DimDate
DimDonationSource,SourceKey,Long,No,Reference to the source system.,No,Yes,DimSource
DimEmail,EmailId,String,No,Email identifier.,No,No,
DimEmail,ChannelKey,Long,No,References to the associated channel.,No,Yes,DimChannel
DimEmail,EmailEngagementId,String,No,Source system email engageement identifier.,No,No,
DimEmail,EmailKey,Long,Yes,Gold surrogate key for email.,Yes,No,
DimEmail,EmailSubject,String,No,Subject of the email.,No,No,
DimEmail,SourceSystemEmailId,String,No,Source system email identifier.,No,No,
DimEmail,SourceKey,Long,No,Reference to the source system.,No,Yes,DimSource
DimEmail,ModifiedDateKey,Long,No,Date when the email was last modified.,No,Yes,DimDate
DimEmail,CreatedDateKey,Long,No,Date when the email was created.,No,Yes,DimDate
DimEmail,VariantType,String,No,Variant type for A/B testing.,No,No,
DimEngagementPlatform,CreatedDateKey,Long,No,Date when the engagement platform was created.,No,Yes,DimDate
DimEngagementPlatform,EngagementPlatformId,String,No,Engagement platform identifier.,No,No,
DimEngagementPlatform,EngagementPlatformKey,Long,Yes,Gold surrogate key for engagement platform.,Yes,No,
DimEngagementPlatform,ModifiedDateKey,Long,No,Date when the engagement platform was last modified.,No,Yes,DimDate
DimEngagementPlatform,Name,String,No,Name of the social media platform.,No,No,
DimEngagementPlatform,SourceKey,Long,No,Reference to the source system.,No,Yes,DimSource
